time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,1.0,12,639802.8136193752
1,300000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,6,1.0,1.0,1.0,1.0,1.0,6,628960.9214589
2,600000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,1.0,12,633440.5018165708
3,900000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,1.0,12,628184.6119314432
4,1200000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,6,1.0,1.0,1.0,1.0,1.0,6,630757.1199461818
5,1500000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,6,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,6,631199.7047960758
6,1800000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,16,0.9999999999999999,1.0,1.0,1.0,1.0,16,636504.6704933047
7,2100000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,10,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,10,635190.6774565578
8,2400000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,2,636965.3741940856
9,2700000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,14,1.0,1.0,1.0,1.0,1.0,14,631860.7431575656
10,3000000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,6,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,6,632701.8923833966
11,3300000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,640406.8582430482
12,3600000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,8,0.9999999999999999,1.0,1.0,1.0,1.0,8,640255.514703691
13,3900000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,2,640685.5727136135
14,4200000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,639350.371286273
15,4500000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,18,0.9999999999999998,1.0,1.0,1.0,1.0,18,639851.596660912
16,4800000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,640397.3865360022
17,5100000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,4,639527.2584408522
18,5400000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,18,1.0,1.0000000000000004,1.0,1.0,1.0,18,640764.9089172482
19,5700000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,1.0,1.0,8,640519.5158943534
20,6000000000000,5208.0,5208.0,5208.0,5208.0,5208.0,5184,1.0,1.0,1.0,1.0,1.0,6,1.0,1.0,1.0,1.0,1.0,6,640334.2110812664
