time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,12,1068.1005790829659
1,300000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,16,0.9999999999999999,1.0006386741100433,1.0000399171318777,1.0,1.000159668527511,16,1060.9029680490494
2,600000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,20,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,20,1093.5667008161545
3,900000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,16,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,16,1058.6209073662758
4,1200000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,14,1.0,1.0005989082370903,1.0000427791597921,1.0,1.0002096178829818,14,1069.184735417366
5,1500000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,20,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,20,1067.684255540371
6,1800000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,1.0,1.0,8,1070.132203400135
7,2100000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,12,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,12,1066.461592912674
8,2400000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,16,0.9999999999999999,1.000676342030419,1.000042271376901,1.0,1.0001690855076049,16,1059.7919300198555
9,2700000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,1065.2778074145317
10,3000000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,12,0.9999999999999998,1.0006688254063671,1.0000557354505306,1.0,1.0003009714328652,12,1062.026135623455
11,3300000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,20,1.0,1.000641912277124,1.0000320956138562,1.0,1.0000320956138564,20,1064.3267035484314
12,3600000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,14,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,14,1055.8514222502708
13,3900000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,8,0.9999999999999998,1.0006322671403571,1.0000790333925447,1.0,1.000410973641232,8,1067.8626671433449
14,4200000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,1053.9105907082558
15,4500000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,1060.5862587690353
16,4800000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,8,1071.9942897558212
17,5100000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,12,0.9999999999999998,1.0006423720248647,1.0000535310020722,1.0,1.000289067411189,12,1061.741627752781
18,5400000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,22,0.9999999999999999,1.0,1.0,1.0,1.0,22,1063.3954480290413
19,5700000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,1095.85702419281
20,6000000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,10,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,10,1059.398576617241
21,6300000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,20,1.0,1.0000000000000002,1.0,1.0,1.0,20,1082.5302675366402
22,6600000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,10,1058.0346062779427
23,6900000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0006319878832948,1.0000526656569413,1.0,1.0002843945474826,12,1066.8805167078972
24,7200000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,20,1.0,1.0006797554388152,1.0000339877719406,1.0,1.000033987771941,20,1060.9857589006424
25,7500000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,14,0.9999999999999998,1.0,1.0,1.0,1.0,14,1060.1269379258156
26,7800000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0006657944875836,1.0000554828739654,1.0,1.0002996075194128,12,1062.8801211714745
27,8100000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,14,0.9999999999999998,1.0006461229058983,1.0000461516361356,1.0,1.0002261430170645,14,1069.2148432135582
28,8400000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,12,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,12,1056.9723919034004
29,8700000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,14,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,14,1059.3111142516136
30,9000000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,10,1069.1166445612907
31,9300000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,16,1.0,1.0000000000000002,1.0,1.0,1.0,16,1059.0940192341805
32,9600000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,6,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,6,1060.4665204882622
33,9900000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,14,1.0,1.0006291102100007,1.0000449364435715,1.0,1.0002201885735003,14,1062.7016723155975
34,10200000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,20,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,20,1057.662382721901
35,10500000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,1.0,12,1079.670637845993
36,10800000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,20,1.0,1.0006608756464148,1.0000660875646414,1.0,1.0006608756464146,20,1100.9014248847961
37,11100000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,18,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,18,1057.7676966786385
38,11400000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0006666006502956,1.0000555500541912,1.0,1.0002999702926332,12,1055.950902402401
39,11700000000000,2.0,2.0,2.0,2.0,2.0,1156,1.0,1.0,1.0,1.0,1.0,18,1.0,1.0006276653656458,1.0000348702980915,1.0,1.0000941498048468,18,1064.757876098156
