time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,2.0,6.0,2.3122837370242215,2.0,4.0,1156,1.0,2.1666666666666665,1.1944444444444444,1.0,2.1666666666666665,12,1.0,2.2490626623988432,1.2081771103998071,1.0,2.249062662398843,12,1218.3624058961868
1,300000000000,2.0,6.0,2.314878892733564,2.0,4.0,1156,1.0,2.8,1.2544117647058823,1.0,2.8,16,1.0,2.992932651207222,1.2802547496756511,1.0,2.9929326512072216,16,1212.4152705073357
2,600000000000,2.0,6.0,2.311418685121107,2.0,4.0,1156,1.0,2.8,1.3599999999999999,1.0,2.8,20,1.0,2.987267460605883,1.396514894382088,1.0,2.987267460605883,20,1201.816312968731
3,900000000000,2.0,6.0,2.305363321799308,2.0,4.0,1156,1.0,2.8,1.1458333333333335,1.0,1.85,16,0.9999999999999999,2.970835533850607,1.1586408060194908,1.0,1.9182719053085873,16,1207.6423540711403
4,1200000000000,2.0,6.0,2.31401384083045,2.0,4.0,1156,1.0,1.2352941176470589,1.0336134453781514,1.0,1.2352941176470589,14,1.0,1.2476102859007479,1.0353728979858212,1.0,1.2476102859007476,14,1216.1581218242645
5,1500000000000,2.0,6.0,2.3105536332179932,2.0,4.0,1156,1.0,3.75,1.669640522875817,1.0555555555555556,3.75,20,1.0,4.135222419359474,1.7467839173489057,1.0578011427436016,4.135222419359474,20,1206.2591016292572
6,1800000000000,2.0,6.0,2.3131487889273354,2.0,4.0,1156,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,1.0,1.0,8,1199.4946002960205
7,2100000000000,2.0,6.0,2.3122837370242215,2.0,4.0,1156,1.0,2.8,1.2690476190476192,1.0,2.202857142857142,12,0.9999999999999999,2.997416815224894,1.2926859502165864,1.0,2.315411578379091,12,1197.0416381955147
8,2400000000000,2.0,6.0,2.311418685121107,2.0,4.0,1156,1.0,2.4545454545454546,1.1818181818181819,1.0,2.4545454545454546,16,0.9999999999999999,2.569157759618066,1.1961447199522581,1.0,2.569157759618065,16,1200.2321630716324
9,2700000000000,2.0,6.0,2.301038062283737,2.0,4.0,1156,1.0,3.75,1.440079365079365,1.0555555555555556,2.8339285714285696,10,1.0,4.129283983261939,1.4870530072153292,1.0578706919001335,3.0608029380844983,10,1192.9133608937263
10,3000000000000,2.0,6.0,2.307093425605536,2.0,4.0,1156,1.0,5.333333333333333,1.48015873015873,1.0,3.34285714285714,12,0.9999999999999998,6.0781539645428975,1.5499415584351937,1.0,3.7031162326576412,12,1197.5686252117157
11,3300000000000,2.0,6.0,2.3088235294117645,2.0,4.0,1156,1.0,1.1111111111111112,1.011111111111111,1.0,1.1111111111111112,20,1.0,1.1168216796367567,1.0116821679636758,1.0,1.1168216796367567,20,1186.8438124656677
12,3600000000000,2.0,6.0,2.31401384083045,2.0,4.0,1156,1.0,3.75,1.2043650793650793,1.0,2.0347222222222214,14,1.0,4.129545123317977,1.2318201471906018,1.0,2.1706998024390813,14,1185.7998967170715
13,3900000000000,2.0,6.0,2.3036332179930796,2.0,4.0,1156,1.0,1.0,1.0,1.0,1.0,8,0.9999999999999998,1.0006322671403571,1.0001580667850893,1.0,1.0006322671403571,8,1182.2325959801674
14,4200000000000,2.0,6.0,2.3062283737024223,2.0,4.0,1156,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,1183.9718893170357
15,4500000000000,2.0,6.0,2.311418685121107,2.0,4.0,1156,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,1184.6504211425781
16,4800000000000,2.0,6.0,2.314878892733564,2.0,4.0,1156,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,8,1191.2002936005592
17,5100000000000,2.0,6.0,2.311418685121107,2.0,4.0,1156,1.0,1.0,1.0,1.0,1.0,12,0.9999999999999998,1.0006423720248647,1.0001070620041441,1.0,1.0006423720248645,12,1184.8407238721848
18,5400000000000,2.0,6.0,2.3088235294117645,2.0,4.0,1156,1.0,1.0,1.0,1.0,1.0,22,0.9999999999999999,1.0,1.0,1.0,1.0,22,1181.9220706820488
19,5700000000000,2.0,6.0,2.300173010380623,2.0,4.0,1156,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,1195.7762390375137
20,6000000000000,2.0,6.0,2.3105536332179932,2.0,4.0,1156,1.0,2.8,1.6509090909090909,1.0,2.8,10,0.9999999999999998,2.9870071654268378,1.7163282583664867,1.0,2.9870071654268373,10,1186.792016029358
21,6300000000000,2.0,6.0,2.3174740484429064,2.0,4.0,1156,1.0,4.428571428571429,1.5228571428571427,1.0,4.428571428571429,20,1.0,4.902562523332901,1.588826959539778,1.0,4.902562523332901,20,1184.0495243668556
22,6600000000000,2.0,6.0,2.311418685121107,2.0,4.0,1156,1.0,2.4545454545454546,1.290909090909091,1.0,2.4545454545454546,10,1.0,2.5561732181367565,1.3112346436273512,1.0,2.5561732181367565,10,1211.8132412433624
23,6900000000000,2.0,6.0,2.315743944636678,2.0,4.0,1156,1.0,2.8,1.3392156862745097,1.0,2.8,12,1.0,2.9957103819163122,1.3739602846137136,1.0,2.995710381916312,12,1193.736419081688
24,7200000000000,2.0,6.0,2.3105536332179932,2.0,4.0,1156,1.0,2.8,1.5518597742127154,1.1111111111111112,2.8,20,1.0,2.975589930418594,1.601166900695312,1.1168304903417978,2.975589930418594,20,1188.1554424762726
25,7500000000000,2.0,6.0,2.309688581314879,2.0,4.0,1156,1.0,2.1666666666666665,1.2335600907029478,1.0,2.1666666666666665,14,0.9999999999999998,2.2513966379176424,1.249131135680037,1.0,2.251396637917642,14,1190.6204745173454
26,7800000000000,2.0,6.0,2.3105536332179932,2.0,4.0,1156,1.0,1.7142857142857142,1.181547619047619,1.0,1.7142857142857142,12,1.0,1.7600637454860133,1.1928551526920423,1.0,1.7600637454860133,12,1192.1321228146553
27,8100000000000,2.0,6.0,2.3105536332179932,2.0,4.0,1156,1.0,1.1111111111111112,1.0158730158730158,1.0,1.1111111111111112,14,1.0,1.1167899114952888,1.0166842730707555,1.0,1.1167899114952886,14,1189.8715645074844
28,8400000000000,2.0,6.0,2.3044982698961936,2.0,4.0,1156,1.0,1.1111111111111112,1.0185185185185184,1.0,1.1111111111111112,12,0.9999999999999998,1.1161252982765315,1.0193542163794218,1.0,1.1161252982765315,12,1199.6093913912773
29,8700000000000,2.0,6.0,2.2993079584775087,2.0,4.0,1156,1.0,4.428571428571429,1.8314625850340138,1.375,3.9875,14,0.9999999999999999,4.933532842567663,1.9278359421328817,1.3973910342422906,4.381058041704167,14,1187.8883987665176
30,9000000000000,2.0,6.0,2.3105536332179932,2.0,4.0,1156,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,10,1185.0842162966728
31,9300000000000,2.0,6.0,2.3122837370242215,2.0,4.0,1156,1.0,3.75,1.34375,1.0,3.75,16,1.0,4.0711639058151645,1.3838954882268957,1.0,4.0711639058151645,16,1186.0802844166756
32,9600000000000,2.0,6.0,2.31401384083045,2.0,4.0,1156,1.0,1.0,1.0,1.0,1.0,6,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,6,1182.5102344155312
33,9900000000000,2.0,6.0,2.3105536332179932,2.0,4.0,1156,1.0,1.0,1.0,1.0,1.0,14,1.0,1.000629110210001,1.000089872887143,1.0,1.0006291102100007,14,1188.2872954010963
