time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,12,9641.089648008347
1,300000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,16,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,16,9591.360725462437
2,600000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,20,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,20,9674.451805651188
3,900000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,16,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,16,9834.713734686375
4,1200000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,14,1.0,1.0000000000000002,1.0,1.0,1.0,14,9881.701834499836
5,1500000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,20,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,20,9810.062758624554
6,1800000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,1.0,1.0,8,9597.47663885355
7,2100000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,12,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,12,9587.272465229034
8,2400000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,16,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,16,9648.283667862415
9,2700000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,9562.249779701233
10,3000000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,12,0.9999999999999998,1.0,1.0,1.0,1.0,12,9737.268015742302
11,3300000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,20,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,20,9615.07572978735
12,3600000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,14,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,14,10075.265631079674
13,3900000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,8,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,8,9487.870395183563
14,4200000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,9527.035370469093
15,4500000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,9524.248398840427
16,4800000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,8,9521.462723612785
17,5100000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,12,0.9999999999999998,1.0,1.0,1.0,1.0,12,9469.315014779568
18,5400000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,22,0.9999999999999999,1.0,1.0,1.0,1.0,22,9505.45846670866
19,5700000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,9474.899843335152
20,6000000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,10,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,10,9482.156313955784
21,6300000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,20,1.0,1.0000000000000002,1.0,1.0,1.0,20,9496.81955575943
22,6600000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,10,9552.617453038692
23,6900000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,1.0,12,9507.255010306835
24,7200000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,20,1.0,1.0000000000000002,1.0,1.0,1.0,20,9558.652564883232
25,7500000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,14,0.9999999999999998,1.0,1.0,1.0,1.0,14,9563.30219656229
26,7800000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0000000000000002,1.0,1.0,1.0,12,9674.083642661572
27,8100000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,14,0.9999999999999998,1.0,1.0,1.0,1.0,14,9553.948849439621
28,8400000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,12,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,12,9558.591268956661
29,8700000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,14,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,14,9579.996921122074
30,9000000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,10,9479.340210556984
31,9300000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,16,1.0,1.0000000000000002,1.0,1.0,1.0,16,9483.53859782219
32,9600000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,6,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,6,9484.108179807663
33,9900000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,14,1.0,1.0,1.0,1.0,1.0,14,9501.470372080803
34,10200000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,20,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,20,9543.294988572598
35,10500000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,1.0,12,9407.33328461647
36,10800000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,20,1.0,1.0000000000000002,1.0,1.0,1.0,20,9505.617216229439
37,11100000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,18,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,18,9479.42116856575
38,11400000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0000000000000002,1.0,1.0,1.0,12,9514.495469629765
39,11700000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,18,1.0,1.0,1.0,1.0,1.0,18,9489.396221935749
40,12000000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,16,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,16,9503.808081150055
41,12300000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,12,0.9999999999999998,1.0,1.0,1.0,1.0,12,9469.43598240614
42,12600000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,12,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,12,9547.697044909
43,12900000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,12,0.9999999999999999,1.0,1.0,1.0,1.0,12,9657.779343426228
44,13200000000000,3.0,3.0,3.0,3.0,3.0,1156,1.0,1.0,1.0,1.0,1.0,14,0.9999999999999997,1.0,1.0,1.0,1.0,14,9568.26900690794
