time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,672.0,672.0,672.0,672.0,672.0,648,1.0,1.3333333333333333,1.005680097242149,1.0,1.0,164,0.9999999999999997,1.3098289759933426,1.077174782681328,1.0483307746668977,1.2543884981256683,164,1298.7457662820816
1,300000000000,672.0,672.0,672.0,672.0,672.0,648,1.0,1.1176470588235294,1.003364090734333,1.0,1.0,136,0.9999999999999998,1.3485615090869578,1.0732444292408907,1.0099404474408704,1.2942803918845969,136,1314.8825764656067
2,600000000000,672.0,672.0,672.0,672.0,672.0,648,1.0,1.1428571428571428,1.0056537050515744,1.0,1.0,127,0.9999999999999998,1.3946185623180736,1.0716666763172382,1.0006566796812002,1.31755179465894,127,1266.3975954055786
3,900000000000,672.0,672.0,672.0,672.0,672.0,648,1.0,1.3333333333333333,1.0062130426631843,1.0,1.0,187,0.9999999999999998,1.3462525181530272,1.0788328804037102,1.0375579073936507,1.2882578884695812,187,1282.5299799442291
4,1200000000000,672.0,672.0,672.0,672.0,672.0,648,1.0,1.3636363636363635,1.0139294021908014,1.0,1.1220588235294118,169,0.9999999999999997,1.3734767036462385,1.0764221734238406,1.0000000000000002,1.3218222876170282,169,1258.6145251989365
5,1500000000000,672.0,672.0,672.0,672.0,672.0,648,1.0,1.1818181818181819,1.0103101180171878,1.0,1.110216718266254,73,0.9999999999999997,1.4471839699545352,1.140611550927257,1.0956930421307522,1.40589670854794,73,1301.0398596525192
6,1800000000000,672.0,672.0,672.0,672.0,672.0,648,1.0,1.2,1.0127587883392837,1.0,1.120220588235294,114,0.9999999999999998,1.3548674091996886,1.0953245310581827,1.0483691186982598,1.3316066166318388,114,1263.7892812490463
7,2100000000000,672.0,672.0,672.0,672.0,672.0,648,1.0,1.3333333333333333,1.0096768924172628,1.0,1.105263157894737,179,0.9999999999999998,1.438412385098348,1.0698808852796629,1.0000000000000002,1.2932400071466104,179,1301.4101535081863
8,2400000000000,672.0,672.0,672.0,672.0,672.0,648,1.0,1.3333333333333333,1.0185237015411448,1.0,1.1779220779220776,123,0.9999999999999998,1.3206577282326843,1.0946021062229674,1.0576007292712957,1.266511972130087,123,1259.2008858919144
9,2700000000000,672.0,672.0,672.0,672.0,672.0,648,1.0,1.2222222222222223,1.0040754257907543,1.0,1.0,137,0.9999999999999998,1.411243816228874,1.116993249524451,1.092531535808182,1.339800491069069,137,1290.893703699112
