time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,3.0,3.0,3.0,3.0,3.0,648,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.7284717324868475,1.1733462335714249,1.1149277571112606,1.5028191272652984,552,641.025573015213
1,300000000000,3.0,3.0,3.0,3.0,3.0,648,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.7286162624696606,1.1792112208028458,1.1182431549008744,1.5426590103622522,552,638.6273503303528
2,600000000000,3.0,3.0,3.0,3.0,3.0,648,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.730625720344256,1.166964970777533,1.0972092970707128,1.5312249002981604,552,674.6864840388298
3,900000000000,3.0,3.0,3.0,3.0,3.0,648,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.7295171365697568,1.1743576607710755,1.1099636045445365,1.5371978139471911,552,652.3003727197647
4,1200000000000,3.0,3.0,3.0,3.0,3.0,648,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.7350375001433416,1.1641319746416512,1.0905859959090263,1.535469579266917,552,645.5705538392067
5,1500000000000,3.0,3.0,3.0,3.0,3.0,648,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.7386768161110027,1.1806904740532864,1.1168179179916669,1.5438250344827908,552,644.47370916605
6,1800000000000,3.0,3.0,3.0,3.0,3.0,648,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.719356989465283,1.1846419200502352,1.1229241364519627,1.5571649490429524,552,646.2244018912315
7,2100000000000,3.0,3.0,3.0,3.0,3.0,648,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.7351839065935761,1.1649698544659126,1.102829488640717,1.506110671481815,552,646.9529494643211
8,2400000000000,3.0,3.0,3.0,3.0,3.0,648,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.7355910904367475,1.1848242066524617,1.1146903778786525,1.5588622514413808,552,644.9158787727356
9,2700000000000,3.0,3.0,3.0,3.0,3.0,648,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.7703959920711267,1.1832250711012915,1.1192663985890334,1.546661735733941,552,649.5712250471115
10,3000000000000,3.0,3.0,3.0,3.0,3.0,648,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.7002096575864254,1.1692346505761173,1.1137182778719934,1.507205507433216,552,645.768977701664
11,3300000000000,3.0,3.0,3.0,3.0,3.0,648,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.754137383058574,1.1819856263191846,1.1262216164820174,1.5656946636015345,552,645.3682333230972
12,3600000000000,3.0,3.0,3.0,3.0,3.0,648,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.7544550845958835,1.1768842566788011,1.1144846051170898,1.5449545744740991,552,645.958736538887
13,3900000000000,3.0,3.0,3.0,3.0,3.0,648,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.7495916389740533,1.1848493193737966,1.141160440178556,1.5549542791192084,552,649.8846933245659
14,4200000000000,3.0,3.0,3.0,3.0,3.0,648,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.7645700138163247,1.1826240932956704,1.1201872470709286,1.5564948348730279,552,654.4346734881401
15,4500000000000,3.0,3.0,3.0,3.0,3.0,648,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.7471784485061632,1.171801356242659,1.1174957995377865,1.503397002743631,552,646.7721834778786
16,4800000000000,3.0,3.0,3.0,3.0,3.0,648,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.7621941992027677,1.1889042327354675,1.144490263721441,1.5402581631353198,552,646.7601433396339
17,5100000000000,3.0,3.0,3.0,3.0,3.0,648,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.7688016126967412,1.1814831735215494,1.1269912952754524,1.5294600576146575,552,649.5386883616447
18,5400000000000,3.0,3.0,3.0,3.0,3.0,648,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.7388046160579567,1.1702890828592374,1.1197063288765825,1.5134807344878571,552,642.852284014225
19,5700000000000,3.0,3.0,3.0,3.0,3.0,648,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.768260136592458,1.1746690903165016,1.1040184734883651,1.5627286962886253,552,641.8818309903145
20,6000000000000,3.0,3.0,3.0,3.0,3.0,648,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.7629976861676229,1.18397683040862,1.1245710671805045,1.5527110022399022,552,639.8324742913246
