time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,4.0,10.0,4.635802469135802,4.0,7.0,648,1.0,5.285714285714286,1.2892126589283297,1.0,2.655288461538457,552,0.9999999999999998,4.726199569809875,1.512267415363067,1.2679762376422552,2.740096127123435,552,764.911413192749
1,300000000000,4.0,10.0,4.645061728395062,4.0,7.0,648,1.0,4.5,1.4456215756750455,1.0,3.3799999999999977,552,0.9999999999999998,4.665208652472557,1.6515288190341832,1.3639600883557088,3.123782302566554,552,760.2211982011795
2,600000000000,4.0,10.0,4.6419753086419755,4.0,7.0,648,1.0,7.4,1.4919534326567927,1.0,3.6572727272727183,552,0.9999999999999998,6.767371375771514,1.6722341688110225,1.3265209867846925,3.417773722560113,552,786.1195653676987
3,900000000000,4.0,9.0,4.637345679012346,4.0,7.0,648,1.0,4.714285714285714,1.336878911651565,1.0,2.57740384615384,552,0.9999999999999998,4.834456546760417,1.5843031528285723,1.3344843896767977,3.1100446305685607,552,754.3773055076599
4,1200000000000,4.0,10.0,4.648148148148148,4.0,7.0,648,1.0,3.8,1.2562051517785937,1.0,2.142857142857143,552,0.9999999999999997,4.590296891107578,1.4749996552516464,1.158095577611635,2.7029710099523037,552,758.3381831645966
5,1500000000000,4.0,10.0,4.654320987654321,4.0,7.0,648,1.0,3.8,1.34441445248946,1.0833333333333333,2.239423076923076,552,0.9999999999999998,4.920104999569538,1.6187405002845474,1.3628311098022818,2.8921189404572436,552,765.2926668524742
6,1800000000000,4.0,9.0,4.6496913580246915,4.0,7.0,648,1.0,3.8,1.2944245967712942,1.0,2.142857142857143,552,0.9999999999999998,4.517656704746675,1.5532625894635568,1.2775791365247242,2.76003581501844,552,761.8867009878159
7,2100000000000,4.0,10.0,4.654320987654321,4.0,7.0,648,1.0,2.8666666666666667,1.2458240682687571,1.0,2.2222222222222223,552,0.9999999999999998,3.4463841206761994,1.4534428707572031,1.1656959954376198,2.667298177599917,552,761.3721415400505
8,2400000000000,4.0,9.0,4.648148148148148,4.0,7.0,648,1.0,3.8,1.2981784347377736,1.0,2.2,552,0.9999999999999998,4.866145877306298,1.5571005273274983,1.2493425160923177,2.7170560234112457,552,762.9525512456894
9,2700000000000,4.0,9.0,4.638888888888889,4.0,7.0,648,1.0,7.4,1.3658854835739027,1.0,2.990952380952362,552,0.9999999999999998,6.61732514439349,1.551199022325091,1.2913091919871036,3.1172223199041316,552,752.5991275906563
10,3000000000000,4.0,9.0,4.645061728395062,4.0,7.0,648,1.0,7.4,1.5545527903590703,1.0,3.6666666666666665,552,0.9999999999999998,6.522292591300669,1.6922043817697903,1.3588674993720817,3.3815604890563953,552,763.1915658712387
11,3300000000000,4.0,9.0,4.62962962962963,4.0,7.0,648,1.0,5.285714285714286,1.2124394667111105,1.0,2.566153846153842,552,0.9999999999999999,4.443978640382763,1.3942859034157868,1.2133700511853345,2.5076945841031777,552,753.2012388110161
12,3600000000000,4.0,10.0,4.645061728395062,4.0,7.0,648,1.0,6.0,1.4001393954362542,1.0,3.142857142857143,552,0.9999999999999998,5.768965648915142,1.5699004279197173,1.331820456399889,2.9246031250303086,552,755.9382170438766
13,3900000000000,4.0,10.0,4.635802469135802,4.0,7.0,648,1.0,5.285714285714286,1.1417804704697605,1.0,2.0,552,0.9999999999999998,4.590586729785584,1.3419943699416954,1.2057446512891832,2.24793344985265,552,761.6351544857025
14,4200000000000,4.0,10.0,4.6265432098765435,4.0,7.0,648,1.0,3.3333333333333335,1.1332370097123972,1.0,1.7619047619047619,552,0.9999999999999998,4.410596876872113,1.368108378410286,1.2040765106818352,2.3569460421888913,552,765.2770802378654
15,4500000000000,4.0,10.0,4.643518518518518,4.0,7.0,648,1.0,3.8,1.1886818894973556,1.0,1.8571428571428572,552,0.9999999999999998,4.934993408916267,1.4381353672866588,1.2420946880241137,2.4733553494976155,552,754.0906667709351
16,4800000000000,4.0,10.0,4.654320987654321,4.0,7.0,648,1.0,3.3333333333333335,1.1070016714187156,1.0,1.6843137254901934,552,0.9999999999999998,4.661347210024824,1.3472802104363821,1.1947468951924267,2.2495739616798294,552,748.2626587152481
17,5100000000000,4.0,10.0,4.646604938271605,4.0,7.0,648,1.0,3.8,1.1718791176025019,1.0,1.8,552,0.9999999999999998,5.073999329088117,1.4298078089353456,1.2352699900566573,2.4495173405194417,552,751.3807564973831
18,5400000000000,4.0,10.0,4.6265432098765435,4.0,7.0,648,1.0,3.8,1.1707523323046922,1.0,1.9230769230769231,552,0.9999999999999998,5.0727997907355284,1.4215204967057014,1.2057460239491034,2.535813845913484,552,756.3084065914154
