time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,2.0,8.0,2.6358024691358026,2.0,5.0,648,1.0,3.4444444444444446,1.209706014659575,1.0,2.9215686274509807,26,1.0,3.4212654417617014,1.2078006180136587,1.0,2.9035439637597755,26,675.4370331764221
1,300000000000,2.0,8.0,2.6450617283950617,2.0,5.0,648,1.0,3.4444444444444446,1.325925925925926,1.0,3.4444444444444446,30,0.9999999999999998,3.4412704579735367,1.3236744014980488,1.0,3.428929255909183,30,679.8912808299065
2,600000000000,2.0,8.0,2.6419753086419755,2.0,5.0,648,1.0,5.666666666666667,2.1504629629629632,1.0,5.666666666666667,24,0.9999999999999998,5.623643159970109,2.141203215282117,1.0,5.6183157602869285,24,675.5499765276909
3,900000000000,2.0,7.0,2.6373456790123457,2.0,5.0,648,1.0,4.714285714285714,1.5234962406015038,1.0,4.457142857142854,24,0.9999999999999998,4.634288550108398,1.513760258618948,1.0,4.346317772771377,24,664.9952083826065
4,1200000000000,2.0,8.0,2.6481481481481484,2.0,5.0,648,1.0,2.3333333333333335,1.1471734892787526,1.0,1.7083333333333335,36,0.9999999999999998,2.3280237278486537,1.1458662248241902,1.0,1.7038037589921826,36,667.9574698209763
5,1500000000000,2.0,8.0,2.654320987654321,2.0,5.0,648,1.0,1.8571428571428572,1.1306390977443608,1.0,1.803571428571428,24,0.9999999999999998,1.8516002805807605,1.129697891040574,1.0,1.7984026059699376,24,671.332448720932
6,1800000000000,2.0,7.0,2.6496913580246915,2.0,5.0,648,1.0,2.3333333333333335,1.1102756892230576,1.0,1.903508771929823,28,0.9999999999999998,2.3268163530663974,1.1095884772917224,1.0,1.898772547184671,28,668.5333549976349
7,2100000000000,2.0,8.0,2.654320987654321,2.0,5.0,648,1.0,2.3333333333333335,1.3029239766081875,1.0,2.3333333333333335,30,1.0,2.3347197523188856,1.3000343524610283,1.0000000000000002,2.326876649451163,30,668.4608459472656
8,2400000000000,2.0,7.0,2.6481481481481484,2.0,5.0,648,1.0,2.6363636363636362,1.1459108630161263,1.0,1.5,24,0.9999999999999998,2.6093009466120853,1.143756915130611,1.0,1.4940637950321296,24,667.7120998501778
9,2700000000000,2.0,7.0,2.638888888888889,2.0,5.0,648,1.0,5.666666666666667,1.6666666666666665,1.0,5.666666666666667,28,0.9999999999999998,5.620505614660259,1.6563303275478245,1.0,5.601866136706352,28,673.0581670999527
10,3000000000000,2.0,7.0,2.6450617283950617,2.0,5.0,648,1.0,4.714285714285714,1.9248677248677248,1.0,4.714285714285714,30,0.9999999999999999,4.669920853924354,1.9164282585874721,1.0,4.663905851278767,30,674.4621396064758
11,3300000000000,2.0,7.0,2.6296296296296298,2.0,5.0,648,1.0,3.4444444444444446,1.350355054302423,1.0,3.2888888888888883,28,0.9999999999999999,3.392156205605007,1.3466440645870623,1.0,3.2561866759577938,28,663.9329716563225
12,3600000000000,2.0,8.0,2.6450617283950617,2.0,5.0,648,1.0,3.4444444444444446,1.3915050784856877,1.0,3.4444444444444446,38,0.9999999999999998,3.441889729914042,1.390089598292357,1.0,3.437769351992555,38,667.0530289411545
13,3900000000000,2.0,8.0,2.6358024691358026,2.0,5.0,648,1.0,3.4444444444444446,1.1965811965811965,1.0,2.6666666666666665,26,0.9999999999999998,3.415039812844149,1.194945139853303,1.0,2.6634023503445565,26,674.4662821292877
14,4200000000000,2.0,8.0,2.626543209876543,2.0,5.0,648,1.0,1.8571428571428572,1.065126050420168,1.0,1.3529411764705883,24,0.9999999999999998,1.8398780401111554,1.0645941423961165,1.0,1.3543052033846041,24,668.9860746264458
15,4500000000000,2.0,8.0,2.6435185185185186,2.0,5.0,648,1.0,2.076923076923077,1.1622710622710624,1.0,1.9780219780219774,30,0.9999999999999998,2.075486843979611,1.1609045527777038,1.0,1.9701212194831004,30,663.655087351799
16,4800000000000,2.0,8.0,2.654320987654321,2.0,5.0,648,1.0,1.0,1.0,1.0,1.0,22,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,22,659.8308458924294
17,5100000000000,2.0,8.0,2.646604938271605,2.0,5.0,648,1.0,2.076923076923077,1.1191553544494721,1.0,1.9683257918552022,24,1.0,2.082948661997917,1.119399234487001,1.0,1.9728473776249438,24,670.4322099685669
18,5400000000000,2.0,8.0,2.626543209876543,2.0,5.0,648,1.0,1.8571428571428572,1.0714285714285714,1.0,1.7285714285714269,24,0.9999999999999999,1.8580370032436602,1.0715030836036383,1.0,1.7293314527571089,24,664.9925708770752
19,5700000000000,2.0,8.0,2.654320987654321,2.0,5.0,648,1.0,2.076923076923077,1.0633484162895928,1.0,1.3769230769230747,34,0.9999999999999997,2.0772885835703674,1.0634213119083802,1.0,1.3776189215164898,34,664.9147123098373
20,6000000000000,2.0,8.0,2.6589506172839505,2.0,5.0,648,1.0,1.8571428571428572,1.0357142857142858,1.0,1.0,24,0.9999999999999998,1.8580202555768084,1.035750843982367,1.0,1.0000000000000002,24,662.3788923025131
21,6300000000000,2.0,8.0,2.6512345679012346,2.0,5.0,648,1.0,7.0,1.536929116331775,1.0,5.049999999999994,34,0.9999999999999998,6.92100733674051,1.5224697226829695,1.0,4.903564140762116,34,660.3458225727081
22,6600000000000,2.0,8.0,2.6435185185185186,2.0,5.0,648,1.0,3.0,1.1607142857142858,1.0,2.474999999999998,28,0.9999999999999998,2.996246523676118,1.1601059166583594,1.0,2.4686065567214275,28,661.9712114334106
23,6900000000000,2.0,7.0,2.654320987654321,2.0,5.0,648,1.0,3.0,1.175438596491228,1.0,2.7157894736842065,24,0.9999999999999998,3.006017720996766,1.1758504171318525,1.0,2.720743155535066,24,666.3729250431061
