time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,108,0.9999999999999997,1.195069828595968,1.06632176303284,1.0593139058377137,1.1555143893498414,108,12283.0476090312
1,300000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,80,0.9999999999999998,1.2174328905072203,1.0665028182638863,1.0588901791000234,1.1642164276221094,80,12278.305515646935
2,600000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,93,0.9999999999999998,1.1839225244401963,1.0619539784435645,1.0605570231379775,1.1597662861438782,93,11636.83307170868
3,900000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,115,0.9999999999999998,1.1902700651030556,1.0491389232948485,1.034248487425597,1.1439647292143431,115,12285.874992609024
4,1200000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,117,0.9999999999999997,1.2179680692597208,1.045811796687874,1.0291314097202724,1.1361761342571093,117,12135.001190006733
5,1500000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,112,0.9999999999999997,1.2098416049719611,1.0542398004203428,1.034669320088879,1.159063621250577,112,11621.433228254318
6,1800000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,97,0.9999999999999998,1.159550912928153,1.0404510564398781,1.0256499560403463,1.1294024533568086,97,11613.7036383152
7,2100000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,132,0.9999999999999999,1.1399160007606401,1.029158211263903,1.0000000000000002,1.120809540314401,132,11660.73551774025
8,2400000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,121,0.9999999999999999,1.183650335627036,1.055317124534956,1.03961053533997,1.138441804723763,121,12325.416758656502
9,2700000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,139,0.9999999999999998,1.1580682144531695,1.0579908358892902,1.0514390774796325,1.141161628202214,139,11549.486756324768
10,3000000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,151,0.9999999999999999,1.1981897837743805,1.0521862141131753,1.0301883279884647,1.1525576082965805,151,11659.934900701046
11,3300000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,132,0.9999999999999998,1.1969881075565907,1.0576082872830492,1.0406483566175486,1.155560028515549,132,12159.117810428143
12,3600000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,111,0.9999999999999998,1.175945643672818,1.0583298891923265,1.0495517328676665,1.1421610649013125,111,11552.268370985985
13,3900000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,105,0.9999999999999998,1.1824617836938576,1.0612618583949995,1.0515530043393053,1.1543132939415015,105,11576.447188854218
14,4200000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,66,0.9999999999999998,1.1850006967449793,1.0586771595207713,1.0426236867424574,1.1582173364406054,66,12117.570772767067
15,4500000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,114,0.9999999999999998,1.1996879156754985,1.0592747660355382,1.0390155028514032,1.1699039476574944,114,12331.519402563572
16,4800000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,113,0.9999999999999996,1.2289924461687405,1.0595393744913897,1.0425597174327068,1.1644352524682076,113,12239.18990790844
17,5100000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,111,0.9999999999999997,1.1725062021993646,1.0416906938390704,1.0199819612094227,1.1325818667054544,111,12327.027067542076
18,5400000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,126,0.9999999999999998,1.1846457016022605,1.0493850100315174,1.028243312345214,1.1462727778938355,126,12149.167157709599
19,5700000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,110,0.9999999999999999,1.1472462845742397,1.0397433767649202,1.0261899213719317,1.1252000182374096,110,12281.291030347347
20,6000000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,125,0.9999999999999997,1.169826577415762,1.0390553970074778,1.004601127151765,1.1357880932529338,125,12400.030255317688
21,6300000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,107,0.9999999999999997,1.1765091385150168,1.0653901777830648,1.0575437050208205,1.1603771122841906,107,12327.735401690006
22,6600000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,137,0.9999999999999996,1.1483836535796654,1.0516542508280409,1.040111671175592,1.1312299493413678,137,12121.98930978775
23,6900000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,146,0.9999999999999998,1.1764380667718461,1.0529566503334968,1.033338273308953,1.1528836587801212,146,11479.319363832474
24,7200000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,131,0.9999999999999998,1.181163366027859,1.0532613502935602,1.039707676818273,1.1552317489253396,131,11559.536181390285
25,7500000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,129,0.9999999999999998,1.1955259830446525,1.0634614381695977,1.0553785963937867,1.1590586513049075,129,11547.947026789188
26,7800000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,90,0.9999999999999998,1.1977419871456487,1.0629223892515411,1.056343436855903,1.1536650768434442,90,12285.20143777132
27,8100000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,77,0.9999999999999998,1.168912535264872,1.058212803550621,1.0483846107475645,1.1515434278262051,77,11488.811261951923
28,8400000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,128,0.9999999999999999,1.1909713991387265,1.057769653869621,1.0389684119638545,1.1622977873514495,128,12214.213214814663
29,8700000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,123,0.9999999999999998,1.2181141053304503,1.0544236508592755,1.0422606217508028,1.1545235401352574,123,11531.892165541649
30,9000000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,98,0.9999999999999997,1.207647982343521,1.052216688436278,1.0276543646482015,1.1491388117681058,98,12238.950483500957
31,9300000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,99,0.9999999999999998,1.214735250509223,1.0506539129939865,1.033263638839353,1.1535887207946336,99,11667.217932641506
32,9600000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,96,0.9999999999999998,1.140086870604884,1.0307682042570954,1.016319027601543,1.109455479971413,96,12073.633566498756
33,9900000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,113,0.9999999999999998,1.1461218653164436,1.0387134431634317,1.0148467724453358,1.134880075994638,113,12095.155246555805
34,10200000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,116,0.9999999999999999,1.153199747998072,1.0544513118796672,1.0369666306868184,1.1382417689370135,116,11702.891133725643
35,10500000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,141,0.9999999999999998,1.1656238070982337,1.0523825098996238,1.034692407873432,1.1452155870778349,141,12092.308260500431
36,10800000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,151,0.9999999999999997,1.2064856366095422,1.0583412779875192,1.0413972327815872,1.1532660953346259,151,11685.988888144493
37,11100000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,138,0.9999999999999998,1.1751672823129682,1.0463358328406585,1.0286519310628446,1.1333074314952651,138,11957.152619957924
38,11400000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,114,0.9999999999999999,1.1827510753963086,1.0594986228730592,1.0563603029185944,1.1418604542021005,114,11959.669165313244
39,11700000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,94,0.9999999999999997,1.1827375156699316,1.0565427007381092,1.0450467602658646,1.1384474428204518,94,11942.788138985634
40,12000000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,63,0.9999999999999997,1.1851739543583146,1.0589188792031548,1.0387982491800407,1.1665546518558736,63,11493.027850985527
