time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,24,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,24,1455.1080390810966
1,300000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,20,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,20,1497.802883386612
2,600000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,30,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,30,1496.9694390892982
3,900000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,32,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,32,1486.8533834815025
4,1200000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,30,0.9999999999999997,1.0,1.0,1.0,1.0,30,1464.9194180965424
5,1500000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,36,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,36,1483.2012057304382
6,1800000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,34,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,34,1477.0848527550697
7,2100000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,36,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,36,1463.9079123735428
8,2400000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,30,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,30,1455.079011619091
9,2700000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,26,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,26,1477.989211678505
10,3000000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,28,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,28,1469.7707295417786
11,3300000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,28,0.9999999999999998,1.0,1.0,1.0,1.0,28,1465.4137566685677
12,3600000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,22,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,22,1505.5437684059143
13,3900000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,28,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,28,1466.1583229899406
14,4200000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,24,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,24,1515.42080193758
15,4500000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,30,0.9999999999999998,1.0,1.0,1.0,1.0,30,1474.543571472168
16,4800000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,30,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,30,1462.8247767686844
17,5100000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,34,1.0,1.0000000000000002,1.0,1.0,1.0,34,1473.723866045475
18,5400000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,36,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,36,1473.439760506153
19,5700000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,36,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,36,1469.408206641674
20,6000000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,36,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,36,1470.1787680387497
21,6300000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,28,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,28,1490.8405989408493
22,6600000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,30,0.9999999999999996,1.0,1.0,1.0,1.0,30,1508.331522345543
23,6900000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,28,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,28,1450.5598917603493
24,7200000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,28,1.0,1.0000000000000002,1.0,1.0,1.0,28,1468.216858804226
25,7500000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,22,1.0,1.0000000000000002,1.0,1.0,1.0,22,1463.284432888031
26,7800000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,26,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,26,1465.3506577014923
27,8100000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,26,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,26,1499.768853187561
28,8400000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,34,1.0,1.0000000000000002,1.0,1.0,1.0,34,1453.0853256583214
29,8700000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,30,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,30,1456.720419228077
30,9000000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,36,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,36,1454.6004235744476
31,9300000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,34,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,34,1475.4156172275543
32,9600000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,38,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,38,1473.4649285674095
