time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,24,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,24,11348.745822906494
1,300000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,20,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,20,11405.553087592125
2,600000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,30,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,30,11396.318651735783
3,900000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,32,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,32,11489.657148718834
4,1200000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,30,0.9999999999999997,1.0,1.0,1.0,1.0,30,11433.91802161932
5,1500000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,36,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,36,11432.822421193123
6,1800000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,34,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,34,11165.049202740192
7,2100000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,36,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,36,11441.467352211475
8,2400000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,30,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,30,11286.78535670042
9,2700000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,26,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,26,11395.211055874825
10,3000000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,28,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,28,11337.846599519253
11,3300000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,28,0.9999999999999998,1.0,1.0,1.0,1.0,28,11481.811508536339
12,3600000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,22,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,22,11206.24278485775
13,3900000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,28,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,28,11356.722868978977
14,4200000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,24,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,24,11240.373082458973
15,4500000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,30,0.9999999999999998,1.0,1.0,1.0,1.0,30,11075.755096971989
16,4800000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,30,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,30,11134.598329663277
17,5100000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,34,1.0,1.0000000000000002,1.0,1.0,1.0,34,11192.327588796616
18,5400000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,36,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,36,11009.547151625156
19,5700000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,36,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,36,11197.568945586681
20,6000000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,36,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,36,11376.596681773663
21,6300000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,28,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,28,11189.35690075159
22,6600000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,30,0.9999999999999996,1.0,1.0,1.0,1.0,30,11002.187505364418
23,6900000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,28,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,28,11236.808434128761
24,7200000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,28,1.0,1.0000000000000002,1.0,1.0,1.0,28,11126.944899559021
25,7500000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,22,1.0,1.0000000000000002,1.0,1.0,1.0,22,11389.365941286087
26,7800000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,26,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,26,11321.468502283096
27,8100000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,26,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,26,11490.57149887085
28,8400000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,34,1.0,1.0000000000000002,1.0,1.0,1.0,34,10975.787445902824
29,8700000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,30,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,30,11442.503944039345
30,9000000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,36,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,36,11090.537816286087
31,9300000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,34,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,34,11426.610052585602
32,9600000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,38,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,38,10993.932701647282
33,9900000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,32,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0,32,10976.868964731693
34,10200000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,32,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,32,11294.946111738682
35,10500000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,34,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,34,11399.228110909462
36,10800000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,24,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,24,11266.93557202816
37,11100000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,22,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,22,11205.182209610939
38,11400000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,24,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,24,11613.727264106274
39,11700000000000,1608.0,1608.0,1608.0,1608.0,1608.0,1584,1.0,1.0,1.0,1.0,1.0,26,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,26,11088.247582316399
