time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,4.0,8.0,4.242424242424242,4.0,5.0,1584,1.0,5.3076923076923075,1.2401753070766464,1.0,2.5555555555555554,552,0.9999999999999997,4.19308176238587,1.3083966805357174,1.1140467897396031,2.399827564318474,552,1902.8478041291237
1,300000000000,4.0,8.0,4.2481060606060606,4.0,5.0,1584,1.0,4.733333333333333,1.231138867606085,1.0,2.271164021164019,552,0.9999999999999998,4.380012840860484,1.3402266482583673,1.1176125654475906,2.4414074521609743,552,1850.0914797186852
2,600000000000,4.0,8.0,4.244949494949495,4.0,5.0,1584,1.0,4.5,1.2888277654022502,1.0,2.7086956521739043,552,0.9999999999999997,4.144055015531433,1.368624507755673,1.108554860973139,2.7109648184603308,552,1845.3661501407623
3,900000000000,4.0,8.0,4.241161616161616,4.0,5.0,1584,1.0,4.0,1.258039092331815,1.0,2.5089999999999986,552,0.9999999999999998,4.037785879523062,1.3374468775640993,1.0975980957962652,2.518328461904978,552,1839.7955000400543
4,1200000000000,4.0,8.0,4.241161616161616,4.0,5.0,1584,1.0,6.090909090909091,1.438535795332332,1.0,3.0,552,0.9999999999999997,5.952184702204146,1.5289348872182047,1.1623930727261813,3.0189722007031787,552,1833.638295531273
5,1500000000000,4.0,8.0,4.241792929292929,4.0,5.0,1584,1.0,6.538461538461538,1.493931812282625,1.0,3.0869565217391304,552,0.9999999999999996,6.886191455669089,1.5908903799298515,1.1726540206734652,3.4204890379599644,552,1845.768891274929
6,1800000000000,4.0,8.0,4.244949494949495,4.0,5.0,1584,1.0,6.538461538461538,1.5689904356890612,1.0851063829787233,3.4489898989898986,552,0.9999999999999997,6.877312221667663,1.6638471720561456,1.1886052358368864,3.5036246758361633,552,1843.2682082057
7,2100000000000,4.0,8.0,4.236742424242424,4.0,5.0,1584,1.0,5.0,1.2701442370736065,1.0,2.4814814814814814,552,0.9999999999999998,4.924169588991579,1.3575033080933143,1.1008773517807504,2.6192724395553233,552,1830.7986557483673
8,2400000000000,4.0,8.0,4.243055555555555,4.0,5.0,1584,1.0,5.153846153846154,1.3154467017260685,1.0,2.6133333333333315,552,0.9999999999999998,6.50846507218218,1.4595319252351031,1.1183897088455024,2.9287005506871213,552,1847.3499566316605
9,2700000000000,4.0,8.0,4.23989898989899,4.0,5.0,1584,1.0,4.846153846153846,1.2579403473447095,1.0,2.5833333333333335,552,0.9999999999999998,6.5602524873436945,1.4183246369457847,1.1003687739526553,3.267617305362882,552,1826.3922110199928
10,3000000000000,4.0,8.0,4.236742424242424,4.0,5.0,1584,1.0,6.538461538461538,1.2140283141695456,1.0,2.1724137931034484,552,0.9999999999999998,6.840885713126568,1.3624554539636147,1.1101984354072587,2.578625546242908,552,1832.3204517364502
11,3300000000000,4.0,8.0,4.2392676767676765,4.0,5.0,1584,1.0,4.111111111111111,1.151095109807689,1.0,1.9263157894736818,552,0.9999999999999998,6.648711393910997,1.2956875638964613,1.0908779106812734,2.2654552899780795,552,1840.026542544365
12,3600000000000,4.0,8.0,4.235479797979798,4.0,5.0,1584,1.0,3.25,1.106387565686547,1.0,1.6666666666666667,552,0.9999999999999997,5.6870701071892835,1.2392395091400263,1.0923310247918945,2.074793259330922,552,1836.6110622882843
13,3900000000000,4.0,8.0,4.241792929292929,4.0,5.0,1584,1.0,4.0,1.1198928219628643,1.0,1.8981034482758619,552,0.9999999999999997,5.944254962728088,1.2480383024058699,1.085862100996175,2.1727865415350487,552,1824.2818862199783
14,4200000000000,4.0,8.0,4.242424242424242,4.0,5.0,1584,1.0,4.6,1.1546714380568734,1.0,2.0,552,0.9999999999999997,6.612747725382214,1.313419670502622,1.101295402891786,2.2977316572625326,552,1832.1558237075806
15,4500000000000,4.0,8.0,4.249368686868687,4.0,5.0,1584,1.0,4.0,1.098831748041808,1.0,1.6666666666666667,552,0.9999999999999998,6.505524405477111,1.2134809795610977,1.0839398559385631,1.977163068461303,552,1832.5653076171875
16,4800000000000,4.0,8.0,4.240530303030303,4.0,5.0,1584,1.0,2.7142857142857144,1.1125132592887155,1.0,1.736842105263158,552,0.9999999999999996,4.376674340702577,1.2318560358255124,1.0881748912570028,2.1229143507846255,552,1853.8606464862823
17,5100000000000,4.0,8.0,4.241161616161616,4.0,5.0,1584,1.0,4.375,1.1405307675668637,1.0,2.0,552,0.9999999999999998,4.3884406927462445,1.2696577399631994,1.0949814715797923,2.3365376396288267,552,1839.3567353487015
18,5400000000000,4.0,8.0,4.241792929292929,4.0,5.0,1584,1.0,4.375,1.1692831178720429,1.0,2.137619047619047,552,0.9999999999999998,4.53435634843695,1.281542485440944,1.1011305819593735,2.340919125800935,552,1817.70458817482
19,5700000000000,4.0,8.0,4.244318181818182,4.0,5.0,1584,1.0,4.375,1.22875182707857,1.0,2.3846153846153846,552,0.9999999999999998,4.374851587827196,1.327340159355108,1.1013550565840573,2.4843558979956937,552,1826.9639983773232
20,6000000000000,4.0,8.0,4.241161616161616,4.0,5.0,1584,1.0,5.666666666666667,1.4126272133219349,1.0,3.380952380952381,552,0.9999999999999999,5.388534694911271,1.4588352376965548,1.134377206050475,2.9096017146512763,552,1820.8376243710518
21,6300000000000,4.0,8.0,4.241792929292929,4.0,5.0,1584,1.0,6.090909090909091,1.3808631382652286,1.0,2.86834782608695,552,0.9999999999999997,6.079756575580224,1.47965078371408,1.1303474070808843,2.907994249152759,552,1813.9214366674423
22,6600000000000,4.0,8.0,4.240530303030303,4.0,5.0,1584,1.0,5.5,1.437134281847038,1.0,3.081818181818169,552,0.9999999999999996,5.920956573144328,1.5423543089042355,1.155162015057149,3.253285792895706,552,1820.6042423844337
23,6900000000000,4.0,8.0,4.23989898989899,4.0,5.0,1584,1.0,5.666666666666667,1.593263669509461,1.1081081081081081,3.588235294117647,552,0.9999999999999998,6.097067033672866,1.6707078291499593,1.2199454021213536,3.5172921161864563,552,1829.7367319464684
