time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,2.0,6.0,2.242424242424242,2.0,3.0,1584,1.0,1.4516129032258065,1.061179382147124,1.0,1.4095852534562205,24,0.9999999999999997,1.4468914824795998,1.0607881524987348,1.0,1.4056016127413735,24,1679.4605776667595
1,300000000000,2.0,6.0,2.2481060606060606,2.0,3.0,1584,1.0,1.9230769230769231,1.1205616605616606,1.0,1.9230769230769231,20,0.9999999999999998,1.925298673507213,1.1207739972347983,1.0,1.9252986735072124,20,1642.319731414318
2,600000000000,2.0,6.0,2.244949494949495,2.0,3.0,1584,1.0,1.2352941176470589,1.0271148459383754,1.0,1.2065546218487393,30,0.9999999999999998,1.2353734107988832,1.027106875369023,1.0,1.2065087498207931,30,1639.4488885998726
3,900000000000,2.0,6.0,2.2411616161616164,2.0,3.0,1584,1.0,2.8,1.2099259974259975,1.0,2.451666666666666,32,0.9999999999999998,2.811416061351944,1.2106342644641621,1.0,2.457522770382603,32,1646.3831886649132
4,1200000000000,2.0,6.0,2.2411616161616164,2.0,3.0,1584,1.0,4.066666666666666,1.5966880714706801,1.0,3.6866666666666643,30,0.9999999999999997,4.07589789365837,1.5996569335236595,1.0,3.6982812318658205,30,1633.0261677503586
5,1500000000000,2.0,6.0,2.2417929292929295,2.0,3.0,1584,1.0,4.846153846153846,1.8777539601069013,1.054054054054054,4.2615384615384615,36,0.9999999999999997,4.912556492521931,1.8859757410129303,1.0536771399074976,4.311944065700795,36,1637.9410475492477
6,1800000000000,2.0,6.0,2.244949494949495,2.0,3.0,1584,1.0,4.066666666666666,1.660125155713391,1.054054054054054,3.373333333333331,34,0.9999999999999999,4.0912407111874565,1.6622590959365122,1.05331938022199,3.3919167169566387,34,1647.4211066961288
7,2100000000000,2.0,6.0,2.2367424242424243,2.0,3.0,1584,1.0,3.0,1.1676286676286676,1.0,2.0357142857142856,36,1.0,3.001782901357676,1.1678233438623973,1.0,2.0367287010340966,36,1667.141653597355
8,2400000000000,2.0,6.0,2.2430555555555554,2.0,3.0,1584,1.0,1.7142857142857142,1.0726190476190476,1.0,1.5616071428571419,30,0.9999999999999999,1.7152880216726794,1.0727570568180709,1.0,1.5626389356892467,30,1649.8409286141396
9,2700000000000,2.0,6.0,2.23989898989899,2.0,3.0,1584,1.0,4.846153846153846,1.6277261200338122,1.0,4.651282051282051,26,0.9999999999999998,4.9332967468175095,1.6364767459700453,1.0,4.722186026275054,26,1650.5794525146484
10,3000000000000,2.0,6.0,2.2367424242424243,2.0,3.0,1584,1.0,4.066666666666666,1.2269841269841268,1.0,3.032222222222218,28,1.0,4.051125023454732,1.2258088184901421,1.0,3.0218007176381114,28,1639.3239125609398
11,3300000000000,2.0,6.0,2.239267676767677,2.0,3.0,1584,1.0,1.054054054054054,1.0038610038610039,1.0,1.035135135135135,28,1.0,1.053259897245441,1.0038042783746743,1.0,1.0346189332095364,28,1644.8243409395218
12,3600000000000,2.0,6.0,2.235479797979798,2.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,22,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,22,1635.29684394598
13,3900000000000,2.0,6.0,2.2417929292929295,2.0,3.0,1584,1.0,1.4516129032258065,1.0322580645161292,1.0,1.2935483870967737,28,1.0,1.4460595066417798,1.0318613933315557,1.0,1.2899386793171561,28,1635.6578692793846
14,4200000000000,2.0,6.0,2.242424242424242,2.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,24,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,24,1638.0723118782043
15,4500000000000,2.0,6.0,2.249368686868687,2.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,30,0.9999999999999998,1.0,1.0,1.0,1.0,30,1650.3014266490936
16,4800000000000,2.0,6.0,2.240530303030303,2.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,30,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,30,1637.6710161566734
17,5100000000000,2.0,6.0,2.2411616161616164,2.0,3.0,1584,1.0,2.619047619047619,1.0952380952380953,1.0,1.5666666666666633,34,1.0,2.6311090146332945,1.0959475890960761,1.0,1.5708881551216494,34,1625.900737941265
18,5400000000000,2.0,6.0,2.2417929292929295,2.0,3.0,1584,1.0,2.4545454545454546,1.0938799762329172,1.0,1.5401069518716577,36,0.9999999999999999,2.4599855713514347,1.0941919971949239,1.0,1.5415991764557564,36,1639.7202089428902
19,5700000000000,2.0,6.0,2.2443181818181817,2.0,3.0,1584,1.0,2.619047619047619,1.158222436000214,1.0,2.015873015873016,36,0.9999999999999998,2.637306081017534,1.159285214889791,1.0,2.021041121858958,36,1652.7647078037262
20,6000000000000,2.0,6.0,2.2411616161616164,2.0,3.0,1584,1.0,5.333333333333333,1.5386819210348621,1.0,3.583333333333333,36,0.9999999999999999,5.388534694911271,1.5447779092146416,1.0,3.6168149911095844,36,1647.178828716278
21,6300000000000,2.0,6.0,2.2417929292929295,2.0,3.0,1584,1.0,3.2222222222222223,1.2304182934435033,1.0,2.6944444444444424,28,0.9999999999999998,3.230611590606363,1.2307432846798654,1.0,2.698715484585514,28,1653.9773717522621
22,6600000000000,2.0,6.0,2.240530303030303,2.0,3.0,1584,1.0,3.0,1.3116498316498317,1.0,3.0,30,0.9999999999999996,3.0150371051484237,1.3131360206040021,1.0,3.0110516346328584,30,1656.876027584076
23,6900000000000,2.0,6.0,2.23989898989899,2.0,3.0,1584,1.0,5.333333333333333,2.1412698412698417,1.0555555555555556,5.333333333333333,28,1.0,5.424832136142899,2.1548438739862315,1.0550765149370247,5.412320088665868,28,1658.5803180932999
24,7200000000000,2.0,6.0,2.234848484848485,2.0,3.0,1584,1.0,5.333333333333333,2.087456493338846,1.1446740858505564,5.162820512820512,28,1.0,5.412064885037716,2.1021502039800186,1.1440638892424073,5.234023799349679,28,1638.2950991392136
25,7500000000000,2.0,6.0,2.2430555555555554,2.0,3.0,1584,1.0,3.0,1.3102813852813853,1.1111111111111112,2.9266666666666654,22,1.0,3.014065821335192,1.3111279902962816,1.1107119496270126,2.9399838177336712,22,1648.6451104283333
26,7800000000000,2.0,6.0,2.240530303030303,2.0,3.0,1584,1.0,4.846153846153846,1.2263477975016437,1.0,1.5333333333333334,26,0.9999999999999998,4.756715747923411,1.2222762839379568,1.0,1.5297750951744455,26,1651.9389674067497
27,8100000000000,2.0,6.0,2.244949494949495,2.0,3.0,1584,1.0,4.846153846153846,1.4787705710782633,1.0,4.289377289377289,26,0.9999999999999999,4.739301425307938,1.468752505772022,1.0,4.204841448092445,26,1663.095936179161
28,8400000000000,2.0,6.0,2.242424242424242,2.0,3.0,1584,1.0,4.066666666666666,1.4418690653984771,1.0,3.373333333333331,34,1.0,4.091218124151781,1.4430832648956247,1.0,3.3871556601042245,34,1636.4339664578438
29,8700000000000,2.0,6.0,2.239267676767677,2.0,3.0,1584,1.0,6.6,1.5614246714246713,1.0,3.75,30,0.9999999999999999,6.642478276810684,1.5631934880626956,1.0,3.74402700118343,30,1634.7828730940819
30,9000000000000,2.0,6.0,2.2436868686868685,2.0,3.0,1584,1.0,6.6,1.4686114686114686,1.0,4.066666666666666,36,0.9999999999999998,6.668991011227087,1.4714859169732675,1.0,4.062651546418195,36,1643.0124789476395
31,9300000000000,2.0,6.0,2.2443181818181817,2.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,34,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,34,1664.462961256504
32,9600000000000,2.0,6.0,2.2367424242424243,2.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,38,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,38,1655.9316515922546
