algorithm,constellation_name,delta_mean_gs_gs_break_rate,delta_mean_gs_gs_churn,delta_mean_gs_handover_rate,delta_mean_sat_gs_break_rate,delta_mean_sat_gs_churn,delta_mean_time_index,delta_mean_time_since_epoch_ns,end_time_hours,isl_scenario,num_orbits,num_sats_per_orbit,param_plane_weight,param_prediction_horizon_minutes,param_sat_weight,param_segment_count,param_segment_mode,param_shell_weight,run_dir,time_step_minutes,timestep_mean_compute_time_ms,timestep_mean_fstate_size_count,timestep_mean_fstate_size_max,timestep_mean_fstate_size_mean,timestep_mean_fstate_size_median,timestep_mean_fstate_size_min,timestep_mean_fstate_size_p95,timestep_mean_stretch_dist_count,timestep_mean_stretch_dist_max,timestep_mean_stretch_dist_mean,timestep_mean_stretch_dist_median,timestep_mean_stretch_dist_min,timestep_mean_stretch_dist_p95,timestep_mean_stretch_hop_count,timestep_mean_stretch_hop_max,timestep_mean_stretch_hop_mean,timestep_mean_stretch_hop_median,timestep_mean_stretch_hop_min,timestep_mean_stretch_hop_p95,timestep_mean_time_index,timestep_mean_time_since_epoch_ns
shortest_path_link_state,OneWeb-synthetic,0.0,0.9949989793835478,1.0,0.0,0.40824059583840494,36.0,10800000000000.0,6.0,grid,18,36,100.0,5,1.0,2,plane_then_inplane,1000.0,/home/sergio/phd/phd-publications/NTN_TopologicalRouting/paper_eval_outputs/oneweb/shortest_path_link_state/grid,5.0,1285.0914748592509,648.0,672.0,672.0,672.0,672.0,672.0,552.0,1.0000000000000002,1.0,1.0,0.9999999999999998,1.0000000000000002,552.0,1.779723054723055,1.020151170261532,1.0,1.0,1.0621981364426845,35.5,10650000000000.0
shortest_path_link_state,OneWeb-synthetic,0.05342927127985304,0.021943253725250047,1.0,0.04166666666666667,0.004204884657740683,36.0,10800000000000.0,6.0,ring,18,36,100.0,5,1.0,2,plane_then_inplane,1000.0,/home/sergio/phd/phd-publications/NTN_TopologicalRouting/paper_eval_outputs/oneweb/shortest_path_link_state/ring,5.0,1031.6592116529744,648.0,672.0,672.0,672.0,672.0,672.0,27.916666666666668,1.0,1.0,1.0,0.9999999999999998,1.0,27.916666666666668,1.0,1.0,1.0,1.0,1.0,35.5,10650000000000.0
topological_routing,OneWeb-synthetic,0.0,0.9975505205143906,1.0,0.0,0.24650694806700277,36.0,10800000000000.0,6.0,grid,18,36,100.0,5,1.0,2,plane_then_inplane,1000.0,/home/sergio/phd/phd-publications/NTN_TopologicalRouting/paper_eval_outputs/oneweb/topological_routing/grid,5.0,764.2861277692848,648.0,9.694444444444445,4.64358281893004,4.0,4.0,7.0,552.0,4.972295840564628,1.4625308067962355,1.2421125822368804,0.9999999999999998,2.6286092809263883,552.0,4.616335978835981,1.2469691689138171,1.006328071083506,1.0,2.296968075151444,35.5,10650000000000.0
topological_routing,OneWeb-synthetic,0.05342927127985304,0.021509491733006737,1.0,0.04166666666666667,0.004136056048223498,36.0,10800000000000.0,6.0,ring,18,36,100.0,5,1.0,2,plane_then_inplane,1000.0,/home/sergio/phd/phd-publications/NTN_TopologicalRouting/paper_eval_outputs/oneweb/topological_routing/ring,5.0,669.5461214209596,648.0,7.694444444444445,2.643582818930041,2.0,2.0,5.0,27.916666666666668,2.9764834396383666,1.2367599294155476,1.0,0.9999999999999998,2.3985892127816126,27.916666666666668,3.000985839543633,1.2401366996603842,1.0,1.0,2.4226526714981302,35.5,10650000000000.0
predictive_link_state,OneWeb-synthetic,0.0,0.9963768115942027,1.0,0.0,0.40768996696226745,36.0,10800000000000.0,6.0,grid,18,36,100.0,5.0,1.0,2,plane_then_inplane,1000.0,/home/sergio/phd/phd-publications/NTN_TopologicalRouting/paper_eval_outputs/oneweb/predictive_link_state/grid/horizon_5m,5.0,1358.2484683849746,648.0,672.0,672.0,672.0,672.0,672.0,126.56944444444444,1.155336387510295,1.0377588411997236,1.0219719599186836,0.9999999999999998,1.1158235673571575,126.56944444444444,1.4709502938056864,1.0306201659523981,1.0,1.0,1.269473242770779,35.5,10650000000000.0
predictive_link_state,OneWeb-synthetic,0.0,0.9970146968769136,1.0,0.0,0.40951754767286846,36.0,10800000000000.0,6.0,grid,18,36,100.0,10.0,1.0,2,plane_then_inplane,1000.0,/home/sergio/phd/phd-publications/NTN_TopologicalRouting/paper_eval_outputs/oneweb/predictive_link_state/grid/horizon_10m,5.0,1318.9266457532842,648.0,672.0,672.0,672.0,672.0,672.0,129.83333333333334,1.3879943560346883,1.0909238063066664,1.038155931541178,0.9999999999999998,1.319792396406434,129.83333333333334,1.2844369637261799,1.009952879393912,1.0,1.0,1.0610578873848031,35.5,10650000000000.0
predictive_link_state,OneWeb-synthetic,0.0,0.9949989793835478,1.0,0.0,0.40824059583840494,36.0,10800000000000.0,6.0,grid,18,36,100.0,0.0,1.0,2,plane_then_inplane,1000.0,/home/sergio/phd/phd-publications/NTN_TopologicalRouting/paper_eval_outputs/oneweb/predictive_link_state/grid/horizon_0m,5.0,1338.3367661800648,648.0,672.0,672.0,672.0,672.0,672.0,552.0,1.0000000000000002,1.0,1.0,0.9999999999999998,1.0000000000000002,552.0,1.779723054723055,1.020151170261532,1.0,1.0,1.0621981364426845,35.5,10650000000000.0
predictive_link_state,OneWeb-synthetic,0.05649112063686467,0.02480097979179425,1.0,0.04160146061554512,0.004207601576537414,36.0,10800000000000.0,6.0,ring,18,36,100.0,5.0,1.0,2,plane_then_inplane,1000.0,/home/sergio/phd/phd-publications/NTN_TopologicalRouting/paper_eval_outputs/oneweb/predictive_link_state/ring/horizon_5m,5.0,1072.265397860772,648.0,672.0,672.0,672.0,672.0,672.0,8.73611111111111,1.0,1.0,1.0,1.0,1.0,8.73611111111111,1.0,1.0,1.0,1.0,1.0,35.5,10650000000000.0
predictive_link_state,OneWeb-synthetic,0.05763931414574403,0.02319350887936315,1.0,0.041992696922274385,0.004184054946965746,36.0,10800000000000.0,6.0,ring,18,36,100.0,10.0,1.0,2,plane_then_inplane,1000.0,/home/sergio/phd/phd-publications/NTN_TopologicalRouting/paper_eval_outputs/oneweb/predictive_link_state/ring/horizon_10m,5.0,1068.94355153458,648.0,672.0,672.0,672.0,672.0,672.0,9.23611111111111,1.0,1.0,1.0,0.9999999999999998,1.0,9.23611111111111,1.0,1.0,1.0,1.0,1.0,35.5,10650000000000.0
predictive_link_state,OneWeb-synthetic,0.05342927127985304,0.021943253725250047,1.0,0.04166666666666667,0.004204884657740683,36.0,10800000000000.0,6.0,ring,18,36,100.0,0.0,1.0,2,plane_then_inplane,1000.0,/home/sergio/phd/phd-publications/NTN_TopologicalRouting/paper_eval_outputs/oneweb/predictive_link_state/ring/horizon_0m,5.0,1070.355540037983,648.0,672.0,672.0,672.0,672.0,672.0,27.916666666666668,1.0,1.0,1.0,0.9999999999999998,1.0,27.916666666666668,1.0,1.0,1.0,1.0,1.0,35.5,10650000000000.0
