time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,1.0,3,399.98527616262436
1,300000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,6,1.0,1.0,1.0,1.0,1.0,6,399.9625965952873
2,600000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,4,387.055829167366
3,900000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,2,384.9857598543167
4,1200000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,5,451.6015648841858
5,1500000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,7,0.9999999999999998,1.0,1.0,1.0,1.0,7,397.82198518514633
6,1800000000000,375.0,375.0,375.0,375.0,375.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,490.18869549036026
7,2100000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,5,463.11214566230774
8,2400000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,4,392.6624655723572
9,2700000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,4,392.11877435445786
10,3000000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,1.0,3,389.18275386095047
11,3300000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,1.0,3,384.94329154491425
12,3600000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,4,389.28522169589996
13,3900000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,1.0,1.0,8,384.80397313833237
14,4200000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,5,382.7352598309517
15,4500000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,2,391.6042819619179
16,4800000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,1.0,1.0,8,393.7007710337639
17,5100000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,1.0,1.0,7,395.5541327595711
18,5400000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,5,391.11507683992386
19,5700000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,1.0,1.0,7,392.0726999640465
20,6000000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,2,390.107236802578
21,6300000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,1.0,1.0,7,454.78658378124237
22,6600000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,5,455.2465155720711
23,6900000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,6,1.0,1.0,1.0,1.0,1.0,6,453.03135365247726
24,7200000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,6,1.0,1.0,1.0,1.0,1.0,6,398.14845472574234
25,7500000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,5,394.8303237557411
26,7800000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,5,409.9496304988861
27,8100000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,4,396.3264524936676
28,8400000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,5,401.41191333532333
29,8700000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,9,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,9,458.93291383981705
30,9000000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,4,467.8599089384079
31,9300000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,3,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,3,458.61147344112396
32,9600000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,5,457.40678161382675
33,9900000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,6,1.0,1.0,1.0,1.0,1.0,6,389.77470993995667
34,10200000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,2,392.4932926893234
35,10500000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,5,394.8363810777664
36,10800000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,1.0,1.0,8,395.05159854888916
37,11100000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,2,394.9691578745842
38,11400000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,6,1.0,1.0,1.0,1.0,1.0,6,491.71939492225647
39,11700000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,4,383.70975852012634
40,12000000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,6,1.0,1.0,1.0,1.0,1.0,6,385.68272441625595
41,12300000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,4,385.42912900447845
42,12600000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,1.0,3,380.9675872325897
43,12900000000000,375.0,375.0,375.0,375.0,375.0,351,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,384.2124789953232
44,13200000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,6,1.0,1.0,1.0,1.0,1.0,6,391.42484962940216
45,13500000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,5,385.70214062929153
