time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,3.0,3.0,3.0,3.0,3.0,351,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.2405483070229766,1.0651087280817988,1.0479964813329825,1.1759467707425293,552,349.3838310241699
1,300000000000,3.0,3.0,3.0,3.0,3.0,351,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.227287520578384,1.0568312320874382,1.049827263686934,1.1631817132029594,552,357.4351370334625
2,600000000000,3.0,3.0,3.0,3.0,3.0,351,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.23851066520491,1.0647963994659009,1.0590368814158055,1.1824282314123142,552,356.5332964062691
3,900000000000,3.0,3.0,3.0,3.0,3.0,351,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.2284569941451875,1.0638523303522205,1.050925404497674,1.1758458250651431,552,357.4102520942688
4,1200000000000,3.0,3.0,3.0,3.0,3.0,351,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.2134727815769613,1.0568787500411945,1.0477058708083757,1.1594706587050427,552,349.15806353092194
5,1500000000000,3.0,3.0,3.0,3.0,3.0,351,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.226298912458603,1.0624468118081671,1.0467500761378323,1.1778782574408622,552,352.91412472724915
6,1800000000000,3.0,3.0,3.0,3.0,3.0,351,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.2436055420255727,1.0631331035373572,1.0529695190683994,1.177996075298994,552,375.87498873472214
7,2100000000000,3.0,3.0,3.0,3.0,3.0,351,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.2252723525284297,1.060575139235155,1.054275074239337,1.1698608307743468,552,352.35799849033356
8,2400000000000,3.0,3.0,3.0,3.0,3.0,351,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999999,1.228492031926944,1.0672086485330166,1.05357364226787,1.1823123494035477,552,352.4129092693329
9,2700000000000,3.0,3.0,3.0,3.0,3.0,351,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.227878722342184,1.0554881707465749,1.0404740718961827,1.1656730136154292,552,356.0602441430092
