time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,22,1.0,1.0000000000000002,1.0,1.0,1.0,22,378.00320237874985
1,300000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,16,1.0,1.0,1.0,1.0,1.0,16,381.82996958494186
2,600000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,16,1.0,1.0,1.0,1.0,1.0,16,383.47887992858887
3,900000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,1.0,12,446.5399831533432
4,1200000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,16,1.0,1.0,1.0,1.0,1.0,16,382.95240700244904
5,1500000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,26,0.9999999999999998,1.0,1.0,1.0,1.0,26,384.43560153245926
6,1800000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,10,0.9999999999999999,1.0,1.0,1.0,1.0,10,404.8028066754341
7,2100000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,16,1.0,1.0,1.0,1.0,1.0,16,380.1768496632576
8,2400000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,22,1.0,1.0,1.0,1.0,1.0,22,389.8124173283577
9,2700000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,18,1.0,1.0000000000000002,1.0,1.0,1.0,18,379.31522727012634
10,3000000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,16,1.0,1.0,1.0,1.0,1.0,16,385.07504761219025
11,3300000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,14,1.0,1.0,1.0,1.0,1.0,14,380.0497055053711
12,3600000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,24,0.9999999999999998,1.0,1.0,1.0,1.0,24,377.36620008945465
13,3900000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,14,1.0,1.0,1.0,1.0,1.0,14,381.18455559015274
14,4200000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,18,1.0,1.0000000000000002,1.0,1.0,1.0,18,382.0873126387596
15,4500000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,1.0,12,372.92419373989105
16,4800000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,18,0.9999999999999998,1.0,1.0,1.0,1.0,18,375.78123807907104
17,5100000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,26,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,26,371.8622028827667
18,5400000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,14,1.0,1.0,1.0,1.0,1.0,14,382.34134018421173
19,5700000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,18,1.0,1.0,1.0,1.0,1.0,18,366.85923486948013
20,6000000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,22,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,22,382.1508288383484
21,6300000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,22,1.0,1.0,1.0,1.0,1.0,22,437.239408493042
22,6600000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,14,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,14,366.1501705646515
23,6900000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,18,1.0,1.0,1.0,1.0,1.0,18,371.48287892341614
24,7200000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,34,1.0,1.0,1.0,1.0,1.0,34,375.6464719772339
25,7500000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,16,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,16,374.662883579731
26,7800000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,20,1.0,1.0,1.0,1.0,1.0,20,375.86645781993866
27,8100000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,18,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,18,366.0866841673851
28,8400000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,16,1.0,1.0,1.0,1.0,1.0,16,380.77811896800995
29,8700000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,22,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,22,370.12404948472977
30,9000000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,1.0,12,431.01542443037033
31,9300000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,18,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,18,375.4817694425583
32,9600000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,14,0.9999999999999999,1.0,1.0,1.0,1.0,14,379.106804728508
33,9900000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,18,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,18,368.7688782811165
34,10200000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,1.0,12,373.17629158496857
35,10500000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,18,0.9999999999999999,1.0,1.0,1.0,1.0,18,368.13785135746
36,10800000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,30,0.9999999999999999,1.0,1.0,1.0,1.0,30,377.5760903954506
37,11100000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,14,1.0,1.0,1.0,1.0,1.0,14,365.3283193707466
38,11400000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,18,1.0,1.0000000000000002,1.0,1.0,1.0,18,377.97022610902786
39,11700000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,22,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,22,368.39859932661057
40,12000000000000,375.0,375.0,375.0,375.0,375.0,351,1.0,1.0,1.0,1.0,1.0,20,1.0,1.0000000000000002,1.0,1.0,1.0,20,375.45226514339447
