time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,4.0,9.0,4.521367521367521,4.0,6.0,351,1.0,4.166666666666667,1.161818916536493,1.0,2.0833333333333335,552,0.9999999999999998,5.233168711250448,1.2593817134604335,1.0956661716688214,2.3062522979954867,552,412.2542589902878
1,300000000000,4.0,9.0,4.518518518518518,4.0,6.0,351,1.0,4.5,1.222834318611846,1.0,2.3207792207792153,552,0.9999999999999999,5.274440602572335,1.3241034642347174,1.0983151289226827,2.5891205908012753,552,434.5845729112625
2,600000000000,4.0,8.0,4.515669515669516,4.0,6.0,351,1.0,4.166666666666667,1.2058628879533444,1.0,2.342307692307687,552,0.9999999999999998,5.05708444783421,1.3134047523952217,1.0892435257544437,2.6911883266698773,552,410.7159152626991
3,900000000000,4.0,10.0,4.527065527065527,4.0,6.0,351,1.0,4.166666666666667,1.1756294535108978,1.0,1.848333333333331,552,0.9999999999999996,5.137766775136884,1.2895235747492797,1.0949146003759536,2.2649100000440594,552,405.28298914432526
4,1200000000000,4.0,10.0,4.518518518518518,4.0,6.0,351,1.0,3.4285714285714284,1.175543521466593,1.0,1.8181818181818181,552,0.9999999999999998,4.1459983274928485,1.2853928515150608,1.0750716262286257,2.251362408523132,552,403.84551882743835
5,1500000000000,4.0,9.0,4.538461538461538,4.0,6.0,351,1.0,3.4,1.2320352319576222,1.0,2.142857142857143,552,0.9999999999999997,3.7625188352424037,1.3712702679390993,1.12351743340299,2.6940724236257325,552,408.32044184207916
6,1800000000000,4.0,9.0,4.52991452991453,4.0,6.0,351,1.0,4.5,1.1946572118787844,1.0,1.8520833333333304,552,0.9999999999999998,5.178855620159627,1.3251976876966287,1.1262166593963474,2.2064386882758917,552,428.65607887506485
7,2100000000000,4.0,9.0,4.532763532763533,4.0,6.5,351,1.0,3.888888888888889,1.2337453837516934,1.0,2.25,552,0.9999999999999998,4.4849262382241575,1.3592444947059408,1.0930106144878038,2.5412359897008656,552,404.05283868312836
8,2400000000000,4.0,9.0,4.512820512820513,4.0,6.0,351,1.0,6.75,1.31271585180317,1.0,2.5454545454545454,552,0.9999999999999999,9.44410884741724,1.4434727929381743,1.128049529306252,2.8770029100548267,552,417.11805015802383
9,2700000000000,4.0,9.0,4.521367521367521,4.0,6.0,351,1.0,4.166666666666667,1.2159129600392304,1.0,2.2384615384615296,552,0.9999999999999998,5.194386117927405,1.3188813879222827,1.0923237888383301,2.511712274704132,552,406.5103009343147
10,3000000000000,4.0,9.0,4.527065527065527,4.0,6.0,351,1.0,4.5,1.2431726172459279,1.0,2.4,552,0.9999999999999999,5.277522578435736,1.3695077239391784,1.1130395917975864,2.7423669411448968,552,401.3441279530525
11,3300000000000,4.0,9.0,4.518518518518518,4.0,6.0,351,1.0,6.75,1.1522657374706777,1.0,2.0,552,0.9999999999999998,9.740748142255564,1.2680290353265646,1.0919453742865088,2.441374937411125,552,408.20810198783875
12,3600000000000,4.0,9.0,4.52991452991453,4.0,6.5,351,1.0,2.888888888888889,1.1042952626354665,1.0,1.75,552,0.9999999999999998,3.023273740546237,1.1843711310289313,1.0753152688444199,2.063607850696474,552,407.2328507900238
13,3900000000000,4.0,9.0,4.512820512820513,4.0,6.0,351,1.0,3.5555555555555554,1.2333851580074153,1.0,2.4444444444444446,552,0.9999999999999998,4.092204290690511,1.3313288156174494,1.0980984947746668,2.729266878716777,552,405.5240601301193
14,4200000000000,4.0,8.0,4.515669515669516,4.0,6.0,351,1.0,6.75,1.1788378095462242,1.0,2.3,552,0.9999999999999998,9.40146234900521,1.2751942547766852,1.0820472850416176,2.476813974499326,552,418.83380711078644
