time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,2.0,7.0,2.5213675213675213,2.0,4.0,351,1.0,1.125,1.0113636363636365,1.0,1.11875,22,1.0,1.1502634704532249,1.0136130420346545,1.0,1.1417622815937125,22,369.70049887895584
1,300000000000,2.0,7.0,2.5185185185185186,2.0,4.0,351,1.0,2.4,1.175,1.0,2.4,16,1.0,2.908717828321792,1.2385897285402239,1.0,2.9087178283217914,16,363.40489983558655
2,600000000000,2.0,6.0,2.5156695156695155,2.0,4.0,351,1.0,1.0,1.0,1.0,1.0,16,1.0,1.0,1.0,1.0,1.0,16,368.35964024066925
3,900000000000,2.0,8.0,2.527065527065527,2.0,4.0,351,1.0,1.8333333333333333,1.0694444444444444,1.0,1.3749999999999993,12,1.0,2.06644646172172,1.08887053847681,1.0,1.4799009077747733,12,361.2624332308769
4,1200000000000,2.0,8.0,2.5185185185185186,2.0,4.0,351,1.0,1.125,1.0234375,1.0,1.125,16,1.0,1.1501238355282473,1.0279529252242465,1.0,1.1489520719044488,16,362.27624863386154
5,1500000000000,2.0,7.0,2.5384615384615383,2.0,4.0,351,1.0,2.4,1.1019230769230768,1.0,1.125,26,0.9999999999999998,2.9616100748099807,1.1331086416780047,1.0,1.15075422954091,26,360.32944917678833
6,1800000000000,2.0,7.0,2.52991452991453,2.0,4.0,351,1.0,1.8333333333333333,1.1916666666666667,1.0,1.8333333333333333,10,1.0,2.0601878937900384,1.2418473251922948,1.0,2.0601878937900384,10,362.57046461105347
7,2100000000000,2.0,7.0,2.532763532763533,2.0,4.5,351,1.0,1.125,1.0234375,1.0,1.125,16,1.0,1.15024283988769,1.0281232159821219,1.0,1.15024283988769,16,361.64162307977676
8,2400000000000,2.0,7.0,2.5128205128205128,2.0,4.0,351,1.0,1.4285714285714286,1.0560064935064934,1.0,1.413392857142857,22,1.0,1.5263788481948048,1.0682104839804067,1.0,1.5075480258095617,22,363.1816878914833
9,2700000000000,2.0,7.0,2.5213675213675213,2.0,4.0,351,1.0,2.4,1.1154761904761905,1.0,1.574285714285713,18,1.0,2.8970542924300084,1.1519676003380641,1.0,1.7420604957816213,18,361.99426651000977
10,3000000000000,2.0,7.0,2.527065527065527,2.0,4.0,351,1.0,3.25,1.33125,1.0,2.6125,16,1.0,4.433619014272954,1.4725508954836661,1.0,3.29556963050166,16,364.3663674592972
11,3300000000000,2.0,7.0,2.5185185185185186,2.0,4.0,351,1.0,1.125,1.0178571428571428,1.0,1.125,14,1.0,1.1508369033994557,1.021246873094894,1.0,1.1480954741436993,14,406.91790729761124
