time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0526315789473684,1.0003632269078495,1.0,1.0,552,0.9999999999999998,1.0000000000000004,1.0,1.0,1.0000000000000002,552,8588.980861008167
1,300000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.05,1.0001811594202898,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0,552,8566.477566957474
2,600000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,552,8551.245257258415
3,900000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.05,1.0003536922015184,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,8587.340466678143
4,1200000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.05,1.000698757763975,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0,552,8554.873391985893
5,1500000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0526315789473684,1.000190694126621,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,8497.190557420254
6,1800000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.05,1.0007073844030365,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,8565.918736159801
7,2100000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.05,1.0008971704623877,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,552,8627.8867572546
8,2400000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0526315789473684,1.0003718535469106,1.0,1.0,552,0.9999999999999998,1.0000000000000004,1.0,1.0,1.0000000000000002,552,8570.78967988491
9,2700000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0526315789473684,1.0005443863281391,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0,552,8533.104538917542
10,3000000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.05,1.0012422360248447,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,8547.234512865543
11,3300000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0526315789473684,1.0005625476735318,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,8576.261349022388
12,3600000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0555555555555556,1.0015201046093496,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,8536.200724542141
13,3900000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0526315789473684,1.0007350804547601,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,552,8586.275294423103
14,4200000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0526315789473684,1.0005625476735318,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,552,8472.420237958431
15,4500000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0555555555555556,1.0014550264550266,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,8540.557466447353
16,4800000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0476190476190477,1.0005175983436851,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,552,8580.15526086092
17,5100000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0555555555555556,1.000783964742775,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,8630.742691457272
18,5400000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0555555555555556,1.0008914193696805,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,552,8669.340170919895
19,5700000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.0000000000000002,1.0,1.0,1.0000000000000002,552,8528.595261275768
20,6000000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.05,1.0001811594202898,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,8616.431660950184
21,6300000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,552,8517.78032630682
22,6600000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0476190476190477,1.0001725327812283,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,552,8523.58739823103
23,6900000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0526315789473684,1.0008894518905962,1.0,1.0,552,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000002,552,8533.00678730011
24,7200000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,552,8513.627149164677
25,7500000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0476190476190477,1.0005175983436851,1.0,1.0,552,0.9999999999999998,1.0000000000000004,1.0,1.0,1.0000000000000002,552,8528.931565582752
26,7800000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.05,1.0005348516218082,1.0,1.0,552,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,552,8563.589662313461
27,8100000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.0000000000000004,1.0,1.0,1.0000000000000002,552,8548.488669097424
28,8400000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0526315789473684,1.0009162398750497,1.0,1.0,552,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,552,8511.167705059052
29,8700000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0555555555555556,1.0015008838521424,1.0,1.0,552,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,552,8579.725801944733
