time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0,1.0,1.0,1.0,22,1.0,1.0000000000000002,1.0,1.0,1.0,22,1288.9585867524147
1,300000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0,1.0,1.0,1.0,16,1.0,1.0,1.0,1.0,1.0,16,1288.093961775303
2,600000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0,1.0,1.0,1.0,16,1.0,1.0,1.0,1.0,1.0,16,1296.747088432312
3,900000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,1.0,12,1316.456377506256
4,1200000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0,1.0,1.0,1.0,16,1.0,1.0,1.0,1.0,1.0,16,1313.0335360765457
5,1500000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0,1.0,1.0,1.0,26,0.9999999999999998,1.0,1.0,1.0,1.0,26,1291.2715747952461
6,1800000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0,1.0,1.0,1.0,10,0.9999999999999999,1.0,1.0,1.0,1.0,10,1292.9086983203888
7,2100000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0,1.0,1.0,1.0,16,1.0,1.0,1.0,1.0,1.0,16,1295.2474281191826
8,2400000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0,1.0,1.0,1.0,22,1.0,1.0,1.0,1.0,1.0,22,1288.9233082532883
9,2700000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0,1.0,1.0,1.0,18,1.0,1.0000000000000002,1.0,1.0,1.0,18,1283.2513451576233
10,3000000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0,1.0,1.0,1.0,16,1.0,1.0,1.0,1.0,1.0,16,1294.0876260399818
11,3300000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0,1.0,1.0,1.0,14,1.0,1.0,1.0,1.0,1.0,14,1293.313130736351
12,3600000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0,1.0,1.0,1.0,24,0.9999999999999998,1.0,1.0,1.0,1.0,24,1280.3433686494827
13,3900000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0,1.0,1.0,1.0,14,1.0,1.0,1.0,1.0,1.0,14,1287.015676498413
14,4200000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0,1.0,1.0,1.0,18,1.0,1.0000000000000002,1.0,1.0,1.0,18,1296.2665036320686
15,4500000000000,2.0,2.0,2.0,2.0,2.0,351,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,1.0,12,1374.7031688690186
